"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3";"";"CPOL-EUE2.5-6";"E2,5-6";"C10, C11, C12";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"1";"";"MAX14850";"SOIC16N";"IC2";"";"";"";"";"";
"1";"";"MICROMATCH-6SMF";"MMT-F-SMD-6";"ISP";"MicroMaTch 6  7-215464-6 / 0-215464-6";"";"";"";"";
"2";"";"PINHD-1X2";"1X02";"SENSE, TRIM";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X4";"1X04";"POWER";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X8";"1X08";"I/O";"PIN HEADER";"";"";"";"";
"3";"";"SMD2";"SMD1,27-2,54";"GND, RX, TX";"SMD PAD";"";"";"";"";
"4";"0.1/5W";"5WAXIALH";"5WAXIAL_H";"R2, R6, R20, R23";"";"";"";"";"";
"1";"1";"R-EU_0414/15";"0414/15";"R19";"RESISTOR, European symbol";"";"";"";"";
"6";"1";"R-EU_R0603";"R0603";"R1, R3, R4, R5, R7, R8";"RESISTOR, European symbol";"";"";"";"";
"1";"10";"R-EU_R0603";"R0603";"R12";"RESISTOR, European symbol";"";"";"";"";
"7";"100n";"C-EUC0603K";"C0603K";"C1, C2, C3, C5, C6, C7, C8";"CAPACITOR, European symbol";"";"";"";"";
"9";"10k";"R-EU_R0603";"R0603";"R9, R10, R13, R14, R16, R17, R21, R27, R28";"RESISTOR, European symbol";"";"";"";"";
"1";"1N6267A";"1N6267A";"C4111-15";"D1";"DIODE";"";"";"";"";
"7";"1k";"R-EU_R0603";"R0603";"R15, R18, R22, R24, R25, R30, R31";"RESISTOR, European symbol";"";"";"";"";
"1";"1k";"R-TRIMM64W";"RTRIM64W";"R11";"Trimm resistor";"";"";"";"";
"1";"3k3";"R-EU_R0603";"R0603";"R26";"RESISTOR, European symbol";"";"";"";"";
"1";"6k8";"R-EU_R0603";"R0603";"R29";"RESISTOR, European symbol";"";"";"";"";
"1";"741G53DCT";"741G53DCT";"DCT_R-PDSO-G8";"IC3";"SINGLE-POLE DOUBLE-THROW (SPDT) ANALOG SWITCH 2:1 ANALOG MULTIPLEXER/DEMULTIPLEXER";"";"";"";"";
"1";"74AC139D";"74AC139D";"SO16";"IC1";"Dual 2-line to 4-line DECODER/DEMULTIPLEXER";"";"";"";"";
"1";"ANALOGCONTROL";"ANALOGCONTROL";"ANALOGCONTROL";"B1";"";"";"";"";"";
"1";"BCM61";"BCM61";"SOT143B";"T2";"";"";"";"";"";
"1";"BCM62";"BCM62";"SOT143B";"T1";"";"";"";"";"";
"2";"BSS123";"BSS123";"SOT23";"Q9, Q10";"N-CHANNEL MOS FET";"";"";"";"";
"1";"BUZ11BV";"BUZ11BV";"TO220BV";"Q8";"N-CHANNEL MOS FET";"";"";"";"";
"1";"IRF1404";"BUZ11BV";"TO220BV";"Q6";"N-CHANNEL MOS FET";"";"";"";"";
"4";"IRFP250";"IRFP250";"TO-247AD-V";"Q1, Q2, Q3, Q4";"33A/27A, 200V/150V, 0.085/0.012 Ohm, N-Channel Power MOSFET";"";"";"";"";
"2";"LM35DT";"LM35DT";"TO220V";"IC6, IC7";"";"";"";"";"";
"1";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"IC4";"MICROCONTROLLER";"";"ATMEGA8-16AU";"9171371";"73M8863";
"2";"POWERRAIL";"POWERRAIL";"POWERRAIL";"U$1, U$2";"";"";"";"";"";
"1";"R005";"SHUNTPWR";"PWR4412-2S";"R39";"";"";"";"";"";
"1";"S10K175";"S10K175";"S10K175";"R32";"VARISTOR";"";"";"";"";
"1";"TME0505S";"TME0505S";"TME";"V1";"DC/DC Converter TME Series 1 Watt";"";"TME 0505S";"1007538";"51R5321";
"4";"WIREPAD3,17/1,3";"WIREPAD3,17/1,3";"3,17/1,3";"PAD1, PAD2, PAD3, PAD4";"Wire PAD connect wire on PCB";"";"";"";"";
