"Qty";"Value";"Device";"Package";"Parts";"Description";"TP_SIGNAL_NAME";
"1";"";"INDUCTOR0603";"R0603";"L1";"Inductor";"";
"2";"";"PINHD-1X1";"1X01";"FET, SHUNT";"PIN HEADER";"";
"2";"";"PINHD-1X2";"1X02";"TRIM, VOLTAGE";"PIN HEADER";"";
"1";"";"PINHD-1X4";"1X04";"POWER";"PIN HEADER";"";
"1";"100k";"R-EU_R0603";"R0603";"R20";"RESISTOR, European symbol";"";
"15";"100n";"C-EUC0603K";"C0603K";"C4, C5, C6, C9, C10, C11, C12, C17, C18, C19, C20, C21, C22, C23, C24";"CAPACITOR, European symbol";"";
"3";"10k";"R-EU_R0603";"R0603";"R6, R14, R16";"RESISTOR, European symbol";"";
"3";"10u";"CPOL-EU153CLV-0505";"153CLV-0505";"C1, C2, C3";"POLARIZED CAPACITOR, European symbol";"";
"2";"1M";"R-EU_R0603";"R0603";"R7, R8";"RESISTOR, European symbol";"";
"11";"1k";"R-EU_R0603";"R0603";"R1, R3, R5, R9, R11, R12, R22, R23, R24, R28, R29";"RESISTOR, European symbol";"";
"1";"20k";"R-TRIMM64W";"RTRIM64W";"R26";"Trimm resistor";"";
"4";"20p";"C-EUC0603K";"C0603K";"C13, C14, C15, C16";"CAPACITOR, European symbol";"";
"1";"24k";"R-EU_R0603";"R0603";"R30";"RESISTOR, European symbol";"";
"3";"300k";"R-EU_R0603";"R0603";"R4, R21, R27";"RESISTOR, European symbol";"";
"2";"330p";"C-EUC0603K";"C0603K";"C7, C8";"CAPACITOR, European symbol";"";
"2";"39k";"R-EU_R0603";"R0603";"R15, R19";"RESISTOR, European symbol";"";
"1";"4052D";"4052D";"SO16";"IC3";"Dual 4-channel ANALOG MULTIPLEXER";"";
"1";"4k3";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"";
"3";"50k";"R-TRIMM64W";"RTRIM64W";"R2, R18, R25";"Trimm resistor";"";
"1";"5k1";"R-EU_R0603";"R0603";"R10";"RESISTOR, European symbol";"";
"2";"741G53DCT";"741G53DCT";"DCT_R-PDSO-G8";"IC4, IC8";"SINGLE-POLE DOUBLE-THROW (SPDT) ANALOG SWITCH 2:1 ANALOG MULTIPLEXER/DEMULTIPLEXER";"";
"1";"82k";"R-EU_R0603";"R0603";"R13";"RESISTOR, European symbol";"";
"1";"AD633R";"AD633R";"SO08";"IC7";"AD633 Multiplier (X*Y)/(10*Z)";"";
"1";"I/O";"PINHD-1X8";"1X08";"I/O";"PIN HEADER";"";
"1";"MAX11100";"MAX11100";"UMAX10";"U3";"";"";
"1";"MAX5216";"MAX5216";"UMAX8";"U2";"";"";
"1";"MAX6070";"MAX6070";"SOT23-6L";"U1";"";"";
"3";"OP07CR";"OP07CR";"SO08";"IC1, IC2, IC5";"OP AMP";"";
"1";"OP27D";"OP27D";"SO08";"IC6";"OP AMP";"";
"3";"PTR1TP06R";"PTR1TP06R";"TP06R";"4.096V, DAC, M_OUT";"TEST PIN";"";
